Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       6.57300       6.57300       6.47400      0.767540      0.270370E-01  0.524612E-02  -116.444      -12.9687      -53.2460       30.3303       0.00000      -343.662       16.0500      0.500000       5.00000       4.00000      0.540322       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       6.46193       6.46193       6.46193      0.780198      0.274887E-01   0.00000       58.6485       37.6404       32.0912       13.0665       0.00000      -343.116       16.0500      0.500000       5.00000       4.00000      0.537687       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       6.55316       6.55316       6.55316      0.669197      0.235737E-01   0.00000       58.2204       36.3290       33.6897       14.5914       0.00000      -343.564       16.0500      0.500000       5.00000       4.00000      0.557611       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       6.64577       6.64577       6.64577      0.729966      0.257099E-01   0.00000       12.4213       24.3060       10.7909       21.7692       0.00000      -344.019       16.0500      0.500000       5.00000       4.00000      0.577837       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       6.68885       6.68885       6.68885      0.745019      0.262379E-01   0.00000       26.5081       27.7993       12.3927       10.5433       0.00000      -344.231       16.0500      0.500000       5.00000       4.00000      0.587246       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       6.73559       6.73559       6.73559      0.694680      0.244629E-01   0.00000       16.7196       20.2732       11.7993       7.76656       0.00000      -344.461       16.0500      0.500000       5.00000       4.00000      0.597453       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       6.76621       6.76621       6.76621      0.811581      0.285778E-01   0.00000       49.2909       32.3513       29.7924       6.67294       0.00000      -344.612       16.0500      0.500000       5.00000       4.00000      0.604140       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       6.83716       6.83716       6.83716      0.459866      0.161908E-01  0.215388E-02  -34.4986       17.2709      -6.67505       33.0502       0.00000      -344.962       16.0500      0.500000       5.00000       4.00000      0.619637       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       6.83451       6.83451       6.83451      0.369880      0.130227E-01  0.616662E-02  -165.555      -38.6568      -61.3947       37.5972       0.00000      -344.948       16.0500      0.500000       5.00000       4.00000      0.619058       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       6.66971       6.66971       6.66971      0.510604      0.179830E-01  0.491567E-02  -93.2760      -15.9961      -43.9372       25.1138       0.00000      -344.137       16.0500      0.500000       5.00000       4.00000      0.583066       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       6.58160       6.58160       6.58160      0.472643      0.166488E-01  0.462644E-02  -82.6969      -14.9105      -37.2153       24.2832       0.00000      -343.704       16.0500      0.500000       5.00000       4.00000      0.563822       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       6.50601       6.50601       6.50601      0.490266      0.172721E-01  0.470967E-02  -88.8328      -18.6002      -38.0243       25.2167       0.00000      -343.332       16.0500      0.500000       5.00000       4.00000      0.547313       0.00000       0.00000       0.00000       0.00000    
