!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-01-01 00:00:00	2.0600624	0	102196.05	-4.1522278	65.230865	0.65116974	53.2301	0
1979-01-02 00:00:00	2.7024636	0	102385.82	-0.27069702	66.770729	0.71727655	49.014313	0
1979-01-03 00:00:00	5.0218714	0	100763.43	2.9508301	78.093124	1	22.889258	1.9088336e-07
1979-01-04 00:00:00	3.3177276	0	100868.03	0.84273682	75.784813	0.94254767	31.571405	1.6890408e-07
1979-01-05 00:00:00	2.6472852	0	102283.02	-0.48062744	77.45079	0.92453507	33.687943	1.2849941e-08
1979-01-06 00:00:00	4.1464893	0	101938.61	6.3593384	89.91674	1	15.023838	1.0543611e-07
1979-01-07 00:00:00	3.7342181	0	101940.22	6.0664612	86.379211	0.93312524	32.887434	5.3752839e-08
1979-01-08 00:00:00	3.7737536	0	101641.75	2.8106323	84.332817	0.89059429	37.69445	4.7187132e-08
1979-01-09 00:00:00	4.4005101	0	100724.15	1.8937317	79.810837	0.81747136	44.872525	2.9792439e-07
1979-01-10 00:00:00	6.0915148	0	98840.953	1.8358704	80.83548	0.89199426	38.854706	5.9913297e-07
1979-01-11 00:00:00	4.2916784	0	99729.117	2.3907715	75.986176	0.74645523	52.158812	1.9922332e-08
1979-01-12 00:00:00	1.9107032	0	100849	1.6517578	69.284958	0.71066373	56.104577	0
1979-01-13 00:00:00	3.3085838	0	101552.53	0.12679443	82.630859	0.93611834	36.43948	1.2127183e-07
1979-01-14 00:00:00	4.1251426	0	101397.52	7.6468445	93.777901	1	21.592387	1.0860503e-07
1979-01-15 00:00:00	4.006218	0	102079.61	7.6481567	89.48027	1	26.298752	1.561009e-08
1979-01-16 00:00:00	2.818279	0	102636.45	5.196344	87.62384	0.95491861	35.580984	5.4092814e-07
1979-01-17 00:00:00	2.9689248	0	102806.35	0.44109497	75.405937	0.68482895	63.147155	0
1979-01-18 00:00:00	5.6676126	0	101827.8	1.6123901	77.431015	1	31.442773	0
1979-01-19 00:00:00	5.3865106	0	100828	0.41161499	71.653091	0.85569238	49.429976	3.8705871e-09
1979-01-20 00:00:00	2.2560366	0	100207.29	1.5006653	90.523903	1	30.882952	1.3743063e-06
1979-01-21 00:00:00	3.6173226	0	101467.39	3.3461853	83.659004	0.79702283	56.627043	0
1979-01-22 00:00:00	4.0151163	0	101601.3	1.4254395	86.053879	1	21.736686	4.9534908e-07
1979-01-23 00:00:00	2.4196083	0	101603.98	1.3718506	83.735741	0.78115533	60.788124	1.4446109e-07
1979-01-24 00:00:00	2.7140258	0	101198.05	2.4361206	81.342453	0.85300833	54.01125	3.2424159e-08
1979-01-25 00:00:00	3.4363928	0	99738.797	1.8019653	82.631531	0.73708349	67.650329	7.5581202e-09
1979-01-26 00:00:00	3.1326856	0	99674.398	1.0956665	83.121902	0.83368116	58.550697	2.716669e-08
1979-01-27 00:00:00	2.7741491	0	99747.664	0.2317749	78.142776	0.68132957	76.37999	4.9624468e-08
1979-01-28 00:00:00	5.005761	0	98022.023	2.370874	87.800598	0.86087934	57.269448	8.9870482e-08
1979-01-29 00:00:00	4.4385162	0	98593.344	2.3964478	85.40477	0.94037731	48.025867	0
1979-01-30 00:00:00	3.7774007	0	100725.19	3.5048462	79.179749	0.81415407	65.627784	8.7464587e-09
1979-01-31 00:00:00	3.4876604	0	100749.67	4.8405396	71.700706	0.96338361	46.717994	1.1624969e-07
1979-02-01 00:00:00	4.8524676	0	99036.391	2.8338257	85.623451	1	33.807752	1.2104745e-07
1979-02-02 00:00:00	2.1621328	0	100364.17	-0.38849487	64.701202	0.39543374	112.0877	0
1979-02-03 00:00:00	2.6044088	0	100539.64	1.7955566	72.255928	0.70121176	85.942313	0
1979-02-04 00:00:00	4.4991236	0	99316.414	2.2605225	85.461441	1	18.716834	6.4006206e-08
1979-02-05 00:00:00	4.0180387	0	99888.477	2.5689026	82.691315	0.8576708	70.16297	0
1979-02-06 00:00:00	4.9876588	0	99987.531	4.1333557	84.592209	1	28.289956	2.447445e-08
1979-02-07 00:00:00	4.4176176	0	99633.602	2.0642639	78.753159	0.91847853	63.67123	1.8995568e-08
1979-02-08 00:00:00	6.1432298	0	100160.63	0.67794189	72.906883	0.80952711	83.232646	6.7261377e-07
1979-02-09 00:00:00	5.9371947	0	99526.469	2.2724243	87.097595	1	39.030065	1.6619277e-08
1979-02-10 00:00:00	6.7328334	0	99124.312	0.90297852	81.678566	1	25.603153	3.9866973e-07
1979-02-11 00:00:00	5.6378676	0	99001.727	1.7038208	78.722237	0.91254832	70.597585	0
1979-02-12 00:00:00	4.8612846	0	98454.773	1.422998	81.610229	1	38.165504	6.075873e-09
1979-02-13 00:00:00	4.0682639	0	98236.328	2.4079224	83.94278	1	52.946554	0
1979-02-14 00:00:00	5.1759457	0	99990.5	0.31957397	77.820763	0.87209142	83.289043	8.9745752e-08
1979-02-15 00:00:00	3.938921	0	102123.84	-3.331366	51.4175	0.47979634	145.50405	0
1979-02-16 00:00:00	3.5510677	0	102399.33	-1.5749268	63.493614	0.74477951	110.87616	0
1979-02-17 00:00:00	5.0465845	0	101391.16	1.3045288	78.651695	1	36.884676	1.176112e-07
1979-02-18 00:00:00	4.4657459	0	100764.02	5.853418	90.105682	1	59.159578	1.0792043e-07
1979-02-19 00:00:00	4.3261132	0	101626.57	4.5385071	85.153694	0.75936723	112.29896	2.2882976e-08
1979-02-20 00:00:00	6.5008597	0	101500.09	6.956842	82.824654	0.961482	72.615146	1.1409997e-08
1979-02-21 00:00:00	3.1747114	0	101856.87	5.3425537	86.098999	1	58.049547	1.1684677e-07
1979-02-22 00:00:00	3.2797656	0	102952.83	4.1279236	72.071434	0.67336553	135.48785	2.3288114e-08
1979-02-23 00:00:00	1.5487392	0	103712.75	3.2407776	71.22892	0.59000075	151.93058	0
1979-02-24 00:00:00	3.8199915	0	103700.59	3.4566284	74.054314	0.86644327	102.24886	0
1979-02-25 00:00:00	4.5663068	0	103500.3	5.7058044	71.159645	0.91732815	91.733445	0
1979-02-26 00:00:00	5.2486366	0	102857.1	6.4055725	83.502068	0.89999371	96.7161	1.1361277e-08
1979-02-27 00:00:00	5.1791962	0	100971.5	4.8779541	90.564011	1	30.199103	1.7679906e-07
1979-02-28 00:00:00	4.2707715	0	100111.06	0.91918335	79.225945	0.74126868	138.892	4.0985593e-08
1979-03-01 00:00:00	5.3543297	0	100652.33	4.7412048	77.494492	0.98670899	80.063561	6.209765e-08
1979-03-02 00:00:00	6.7273375	0	100687.75	8.188562	90.50106	1	59.595962	1.0178468e-07
1979-03-03 00:00:00	5.1768958	0	101184.31	5.7080322	74.959633	0.7392568	145.62967	4.7446239e-08
1979-03-04 00:00:00	5.1723844	0	102116.8	4.7283875	60.936386	0.70582239	157.13791	6.9599546e-09
1979-03-05 00:00:00	5.9775236	0	101689.09	5.6136719	75.738655	0.92415607	105.89649	1.5020035e-08
1979-03-06 00:00:00	6.2160362	0	99682.203	4.2293945	81.106407	0.97403074	93.080466	2.0762847e-07
1979-03-07 00:00:00	4.4606349	0	100643.66	3.4840027	69.403961	0.71854177	165.66826	6.6245175e-09
1979-03-08 00:00:00	7.0607165	0	100353.5	6.0704895	86.380173	1	33.710152	2.4003652e-07
1979-03-09 00:00:00	7.3995393	0	99739.602	3.2000366	78.582039	0.89131256	124.54463	7.6436612e-08
1979-03-10 00:00:00	4.4294375	0	99851.859	5.6090332	87.706802	1	75.479604	1.7501546e-07
1979-03-11 00:00:00	6.4234346	0	99917.164	6.725061	78.704613	0.7655275	163.37618	6.9355214e-08
1979-03-12 00:00:00	5.0981702	0	100832.36	5.0818726	61.542645	0.78445343	163.52585	0
1979-03-13 00:00:00	3.1023126	0	100997.99	4.0560547	72.665108	0.81503337	156.96359	1.2486144e-07
1979-03-14 00:00:00	4.3099794	0	101452.41	3.455072	68.854866	0.71782046	187.45145	7.9674091e-09
1979-03-15 00:00:00	3.5403987	0	101044.77	1.9633423	73.332687	0.70289362	194.77562	3.5369287e-09
1979-03-16 00:00:00	4.3069682	0	100705.14	1.0803162	67.89003	0.92152219	131.19949	6.0082039e-09
1979-03-17 00:00:00	5.395337	0	100304.16	0.98824463	66.554077	0.97629168	113.27646	2.7763604e-09
1979-03-18 00:00:00	5.1208569	0	100157.98	0.9117981	68.755707	0.87203434	152.81008	9.2607015e-09
1979-03-19 00:00:00	3.217262	0	100173.01	2.5570313	69.924164	0.81273794	174.36271	0
1979-03-20 00:00:00	2.9203084	0	99372.359	2.2373901	76.921562	0.88220063	152.88877	6.0617473e-08
1979-03-21 00:00:00	3.0461672	0	99646.57	1.6452271	66.220215	0.66474301	225.19542	6.6848925e-09
1979-03-22 00:00:00	2.2263398	0	100472.45	1.5043884	73.798576	0.72574783	210.17338	9.9775061e-08
1979-03-23 00:00:00	1.9445847	0	101370.34	2.9653259	59.046104	0.6388753	239.01267	0
1979-03-24 00:00:00	4.611677	0	99800.656	5.4368835	87.686203	1	26.494038	2.8212479e-07
1979-03-25 00:00:00	4.2442911	0	98108.234	6.2219788	94.640213	1	94.071228	6.6498673e-08
1979-03-26 00:00:00	5.4164931	0	98943.992	4.0821167	80.548347	0.99494996	119.29853	6.0974344e-08
1979-03-27 00:00:00	5.4789205	0	98280.422	3.9517151	81.504562	0.94067632	144.12131	9.9873032e-08
1979-03-28 00:00:00	6.3483018	0	100004.96	3.4892822	75.92205	0.77979353	208.79882	3.5701345e-08
1979-03-29 00:00:00	6.9818133	0	101547.17	3.6737	64.686119	0.69791279	240.32986	1.6476364e-08
1979-03-30 00:00:00	3.630169	0	102037.4	4.9135071	76.597702	0.98234716	131.60366	1.7440278e-08
1979-03-31 00:00:00	4.5093076	0	101492.95	5.4837891	80.837128	0.90090887	168.30499	2.6193622e-08
1979-04-01 00:00:00	4.211518	0	100837.12	4.3383728	79.651329	0.86602296	187.7284	3.9583731e-08
1979-04-02 00:00:00	3.3296477	0	100191.61	2.7136169	80.382599	0.74541962	238.08336	4.2154468e-08
1979-04-03 00:00:00	2.7222174	0	100181.33	2.6042114	70.35878	0.67975862	265.44789	7.6877968e-09
1979-04-04 00:00:00	3.0466407	0	100517.41	3.7056213	70.663521	0.71042726	257.51378	0
1979-04-05 00:00:00	3.0727375	0	101111.01	4.3695618	74.513046	0.74666891	246.56299	1.9363495e-08
1979-04-06 00:00:00	2.1055836	0	101305.42	4.5325562	84.628456	0.82742909	216.06756	4.020561e-08
1979-04-07 00:00:00	4.1932855	0	100942.42	4.2402588	82.86158	0.80999296	226.40813	7.2400985e-08
1979-04-08 00:00:00	3.8241161	0	100841.84	3.6944824	86.518997	0.94466645	167.7216	5.1514446e-08
1979-04-09 00:00:00	2.3155893	0	100540.17	4.2085205	79.901649	0.73570202	262.41402	1.7145736e-08
1979-04-10 00:00:00	3.4405713	0	99758.148	4.0063721	80.617966	0.99572354	145.62355	4.4811044e-08
1979-04-11 00:00:00	2.6527777	0	99325.328	6.4731995	84.857735	0.89416663	197.00675	6.3846754e-08
1979-04-12 00:00:00	2.9987729	0	98998.672	7.014032	94.410294	1	111.80058	1.0297463e-07
1979-04-13 00:00:00	2.77888	0	100452.91	7.4564148	69.233681	0.74683469	268.84725	1.1871188e-08
1979-04-14 00:00:00	3.5302895	0	101313.66	6.8192993	85.684372	1	114.4252	1.0474336e-07
1979-04-15 00:00:00	1.9035696	0	102548.51	7.6086365	68.934433	0.54660166	346.87863	0
1979-04-16 00:00:00	2.0347143	0	102805.98	8.3360535	68.214951	0.6853274	301.56405	0
1979-04-17 00:00:00	2.0210433	0	102837.7	8.3459717	83.272964	0.79024818	257.91265	1.5769683e-09
1979-04-18 00:00:00	2.5240582	0	102807.38	8.4202209	86.668053	0.82050203	245.91582	1.0294654e-08
1979-04-19 00:00:00	4.5096972	0	102159.75	8.0296875	91.848236	1	89.878756	7.6080578e-08
1979-04-20 00:00:00	4.1349921	0	102125.42	7.7327209	73.652939	0.79520188	265.11561	7.5517055e-09
1979-04-21 00:00:00	4.191731	0	101321.38	8.0136047	80.765182	0.84422484	242.4781	1.7269738e-08
1979-04-22 00:00:00	5.0801425	0	100467.85	7.6787659	85.740067	1	81.363182	1.0135274e-07
1979-04-23 00:00:00	5.0565214	0	99190.414	7.0960327	89.499603	0.96597852	180.53903	7.9865997e-08
1979-04-24 00:00:00	5.4933413	0	100540.53	6.3749023	75.498581	0.73837378	301.92498	9.4619236e-09
1979-04-25 00:00:00	4.8796351	0	101557.01	6.6090942	81.644341	0.86026371	243.75519	2.0873002e-08
1979-04-26 00:00:00	3.5781054	0	102693.5	7.4624268	65.616699	0.69810388	325.80163	0
1979-04-27 00:00:00	3.0894608	0	103183.33	7.8558594	87.675568	0.98010023	177.9637	8.0211476e-09
1979-04-28 00:00:00	5.0175197	0	102597.37	9.170343	91.478249	0.98339337	176.05947	2.7644344e-08
1979-04-29 00:00:00	5.3610151	0	101631.99	8.4970642	85.787163	0.90776954	224.86695	1.3651996e-08
