datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
-12419	3.0708862	0	-4.1522278	33.524002	2.9303462	228.26921	0
-12418	4.0284984	0	-0.27069702	30.868926	4.0000159	247.15446	0
-12417	7.4859847	0	2.9508301	14.415519	5.8989462	283.33102	0.00068718009
-12416	4.9456579	0	0.84273682	19.883484	4.9222679	266.754	0.00060805469
-12415	3.9462452	0	-0.48062744	21.216467	4.5692529	265.68015	4.6259789e-05
-12414	6.1810735	0	6.3593384	9.4619249	8.622505	309.21478	0.00037957001
-12413	5.5665108	0	6.0664612	20.712309	8.1172998	290.44547	0.00019351022
-12412	5.6254454	0	2.8106323	23.739743	6.3071436	276.93433	0.00016987367
-12411	6.5597361	0	1.8937317	28.260449	5.5909264	270.58609	0.0010725278
-12410	9.0804768	0	1.8358704	24.470464	5.6392784	267.06573	0.0021568787
-12409	6.3975034	0	2.3907715	32.849311	5.5155197	258.92792	7.1720396e-05
-12408	2.8482395	0	1.6517578	35.334331	4.7700823	251.29366	0
-12407	4.9320275	0	0.12679443	22.949369	5.0955245	279.59918	0.0004365786
-12406	6.1492525	0	7.6468445	13.598757	9.8239894	319.27881	0.00039097809
-12405	5.9719743	0	7.6481567	16.562798	9.3746183	310.18021	5.6196326e-05
-12404	4.2011417	0	5.196344	22.408692	7.7514559	288.34607	0.0019473413
-12403	4.4257055	0	0.44109497	39.769703	4.7573208	243.52289	0
-12402	8.4485755	0	1.6123901	19.802474	5.3158721	283.37323	0
-12401	8.0295438	0	0.41161499	31.130705	4.5109021	275.84589	1.3934113e-05
-12400	3.3630205	0	1.5006653	19.4499	6.1650622	282.01114	0.0049475028
-12399	5.3922567	0	3.3461853	35.663377	6.4989785	265.71274	0
-12398	5.9852387	0	1.4254395	13.689638	5.8290269	283.22217	0.0017832567
-12397	3.6068529	0	1.3718506	38.284001	5.6501828	269.17709	0.00052005992
-12396	4.045734	0	2.4361206	34.015964	5.9234365	274.21835	0.00011672697
-12395	5.1225497	0	1.8019653	42.605777	5.7505837	257.11279	2.7209233e-05
-12394	4.66982	0	1.0956665	36.874882	5.4982933	256.74072	9.7800085e-05
-12393	4.1353581	0	0.2317749	48.103665	4.855663	252.89696	0.00017864809
-12392	7.4619692	0	2.370874	36.06796	6.3640395	269.71802	0.00032353374
-12391	6.6163911	0	2.3964478	30.246408	6.2016867	264.41867	0
-12390	5.6308818	0	3.5048462	41.33199	6.220418	271.1467	3.1487251e-05
-12389	5.1989728	0	4.8405396	29.422717	6.1872777	289.82672	0.00041849889
-12388	7.2334586	0	2.8338257	21.291921	6.4142336	282.73752	0.00043577082
-12387	3.22304	0	-0.38849487	70.592174	3.8428585	236.22739	0
-12386	3.8823303	0	1.7955566	54.125959	5.0262037	265.49707	0
-12385	6.7067365	0	2.2605225	11.787751	6.1458909	291.82553	0.00023042234
-12384	5.9895949	0	2.5689026	44.188225	6.0789145	289.6051	0
-12383	7.4349848	0	4.1333557	17.816846	6.9466696	304.10306	8.8108019e-05
-12382	6.5852376	0	2.0642639	40.099763	5.584587	284.58212	6.8384045e-05
-12381	9.1575671	0	0.67794189	52.419427	4.6792494	269.53302	0.0024214096
-12380	8.8504348	0	2.2724243	24.580905	6.2688791	293.20261	5.9829396e-05
-12379	10.036474	0	0.90297852	16.124712	5.3282093	285.01486	0.001435211
-12378	8.4042358	0	1.7038208	44.461942	5.4400996	286.88217	0
-12377	7.2466021	0	1.422998	24.036408	5.5270572	288.84305	2.1873143e-05
-12376	6.0644647	0	2.4079224	33.345428	6.1005148	297.64236	0
-12375	7.7156599	0	0.31957397	52.454947	4.866579	274.13477	0.00032308471
-12374	5.8716562	0	-3.331366	91.637593	2.4567418	225.44907	0
-12373	5.2934925	0	-1.5749268	69.829149	3.4566903	253.70813	0
