"",45.900
0.0000,0.0000E+000
1.0000,3.3821E+002
2.0000,3.3471E+002
3.0000,3.1690E+002
4.0000,3.1150E+002
5.0000,3.2213E+002
6.0000,3.4046E+002
7.0000,3.0554E+002
8.0000,2.7729E+002
9.0000,2.9036E+002
10.0000,2.8354E+002
11.0000,2.9608E+002
12.0000,2.8919E+002
13.0000,2.9307E+002
14.0000,2.8484E+002
15.0000,3.1252E+002
16.0000,3.1418E+002
17.0000,3.0477E+002
18.0000,2.7682E+002
19.0000,2.6098E+002
20.0000,2.5940E+002
21.0000,2.5296E+002
22.0000,2.7559E+002
23.0000,2.7645E+002
24.0000,3.0458E+002
25.0000,2.9794E+002
26.0000,2.6904E+002
27.0000,2.9064E+002
28.0000,3.1001E+002
29.0000,2.7666E+002
30.0000,2.7594E+002
31.0000,2.7951E+002
32.0000,2.8574E+002
33.0000,3.2872E+002
34.0000,2.8070E+002
35.0000,2.7446E+002
36.0000,2.6419E+002
37.0000,2.9003E+002
38.0000,2.9149E+002
39.0000,3.1416E+002
40.0000,2.8813E+002
41.0000,2.9536E+002
42.0000,2.9890E+002
43.0000,3.2240E+002
44.0000,2.9490E+002
45.0000,3.0539E+002
46.0000,3.0906E+002
47.0000,2.8870E+002
48.0000,2.8082E+002
49.0000,2.7827E+002
50.0000,2.7476E+002
51.0000,2.6913E+002
52.0000,2.6500E+002
53.0000,2.6889E+002
54.0000,2.5570E+002
55.0000,2.4964E+002
56.0000,2.7580E+002
57.0000,2.9284E+002
58.0000,2.8533E+002
59.0000,2.8793E+002
60.0000,2.7222E+002
61.0000,2.9523E+002
62.0000,3.0220E+002
63.0000,2.8351E+002
64.0000,3.1053E+002
65.0000,3.1293E+002
66.0000,3.2513E+002
67.0000,3.1373E+002
68.0000,2.9168E+002
69.0000,2.5069E+002
70.0000,2.5658E+002
71.0000,2.8174E+002
72.0000,2.8452E+002
73.0000,2.8454E+002
74.0000,2.6786E+002
75.0000,2.8603E+002
76.0000,2.9564E+002
77.0000,2.8302E+002
78.0000,2.6708E+002
79.0000,2.9562E+002
80.0000,3.1675E+002
81.0000,3.0066E+002
82.0000,2.8852E+002
83.0000,2.6985E+002
84.0000,2.6959E+002
85.0000,2.5386E+002
86.0000,2.5789E+002
87.0000,2.5645E+002
88.0000,2.5675E+002
89.0000,2.8364E+002
90.0000,2.8100E+002
91.0000,2.6127E+002
92.0000,2.5788E+002
93.0000,2.6640E+002
94.0000,2.7149E+002
95.0000,2.8400E+002
96.0000,3.0143E+002
97.0000,2.9298E+002
98.0000,2.9224E+002
99.0000,3.1554E+002
100.0000,3.1306E+002
101.0000,3.1405E+002
102.0000,3.2847E+002
103.0000,3.2694E+002
104.0000,3.2664E+002
105.0000,3.0162E+002
106.0000,3.5549E+002
107.0000,3.0940E+002
108.0000,3.0186E+002
109.0000,3.0876E+002
110.0000,3.1681E+002
111.0000,3.4724E+002
112.0000,3.5268E+002
113.0000,3.5301E+002
114.0000,3.0664E+002
115.0000,2.8341E+002
116.0000,2.9196E+002
117.0000,3.3597E+002
118.0000,2.9275E+002
119.0000,2.9554E+002
120.0000,2.9212E+002
121.0000,3.0759E+002
122.0000,3.2833E+002
123.0000,3.1249E+002
124.0000,3.3816E+002
125.0000,3.2947E+002
126.0000,3.2950E+002
127.0000,3.3445E+002
128.0000,3.2657E+002
129.0000,3.0356E+002
130.0000,3.0649E+002
131.0000,3.3017E+002
132.0000,2.8790E+002
133.0000,2.8741E+002
134.0000,2.9349E+002
135.0000,3.1426E+002
136.0000,2.8634E+002
137.0000,3.1247E+002
138.0000,3.3224E+002
139.0000,3.3337E+002
140.0000,3.3197E+002
141.0000,3.1355E+002
142.0000,2.8984E+002
143.0000,2.9530E+002
144.0000,3.2540E+002
145.0000,3.3092E+002
146.0000,3.0333E+002
147.0000,3.0611E+002
148.0000,2.9970E+002
149.0000,2.9928E+002
150.0000,3.3294E+002
151.0000,3.1287E+002
152.0000,3.3096E+002
153.0000,3.4421E+002
154.0000,3.1383E+002
155.0000,3.1604E+002
156.0000,3.2667E+002
157.0000,3.1903E+002
158.0000,3.1997E+002
159.0000,3.1785E+002
160.0000,3.3164E+002
161.0000,3.4931E+002
162.0000,3.2983E+002
163.0000,3.2557E+002
164.0000,3.1772E+002
165.0000,3.0841E+002
166.0000,3.2646E+002
167.0000,3.4350E+002
168.0000,3.2573E+002
169.0000,3.1604E+002
170.0000,3.4862E+002
171.0000,3.3970E+002
172.0000,3.3761E+002
173.0000,3.2598E+002
174.0000,3.2366E+002
175.0000,3.4356E+002
176.0000,3.1581E+002
177.0000,3.5039E+002
178.0000,3.5610E+002
179.0000,3.4771E+002
180.0000,3.4465E+002
181.0000,3.2923E+002
182.0000,3.4980E+002
183.0000,3.5200E+002
184.0000,3.4571E+002
185.0000,3.3454E+002
186.0000,3.4405E+002
187.0000,3.6706E+002
188.0000,3.5190E+002
189.0000,3.6319E+002
190.0000,3.4327E+002
191.0000,3.4624E+002
192.0000,3.5097E+002
193.0000,3.4414E+002
194.0000,3.2837E+002
195.0000,3.3702E+002
196.0000,3.2953E+002
197.0000,3.3696E+002
198.0000,3.4858E+002
199.0000,3.4347E+002
200.0000,3.4927E+002
201.0000,3.4881E+002
202.0000,3.6126E+002
203.0000,3.4427E+002
204.0000,3.4194E+002
205.0000,3.2600E+002
206.0000,3.2640E+002
207.0000,3.2414E+002
208.0000,3.2618E+002
209.0000,3.3378E+002
210.0000,3.2621E+002
211.0000,3.5775E+002
212.0000,3.7513E+002
213.0000,3.3519E+002
214.0000,3.2990E+002
215.0000,3.3696E+002
216.0000,3.1677E+002
217.0000,3.3062E+002
218.0000,3.3505E+002
219.0000,3.4370E+002
220.0000,3.3980E+002
221.0000,3.3283E+002
222.0000,3.3705E+002
223.0000,3.3930E+002
224.0000,3.5186E+002
225.0000,3.7075E+002
226.0000,3.6449E+002
227.0000,3.3791E+002
228.0000,3.5916E+002
229.0000,3.3383E+002
230.0000,3.3864E+002
231.0000,3.5736E+002
232.0000,3.5887E+002
233.0000,3.4425E+002
234.0000,3.5673E+002
235.0000,3.5180E+002
236.0000,3.4772E+002
237.0000,3.4468E+002
238.0000,3.5281E+002
239.0000,3.3395E+002
240.0000,3.5708E+002
241.0000,3.4877E+002
242.0000,3.1576E+002
243.0000,3.2895E+002
244.0000,3.6038E+002
245.0000,3.2920E+002
246.0000,3.3233E+002
247.0000,3.1642E+002
248.0000,2.9704E+002
249.0000,3.0952E+002
250.0000,3.2891E+002
251.0000,3.4073E+002
252.0000,3.3092E+002
253.0000,3.5686E+002
254.0000,3.6417E+002
255.0000,3.2383E+002
256.0000,3.1057E+002
257.0000,3.3156E+002
258.0000,3.1442E+002
259.0000,3.4764E+002
260.0000,3.3003E+002
261.0000,3.3774E+002
262.0000,3.4228E+002
263.0000,3.5878E+002
264.0000,3.5120E+002
265.0000,3.2801E+002
266.0000,3.3785E+002
267.0000,3.5495E+002
268.0000,3.5717E+002
269.0000,3.4913E+002
270.0000,3.3713E+002
271.0000,3.4587E+002
272.0000,3.6070E+002
273.0000,3.5713E+002
274.0000,3.4695E+002
275.0000,3.4664E+002
276.0000,3.3639E+002
277.0000,3.2976E+002
278.0000,3.5871E+002
279.0000,3.4861E+002
280.0000,3.3183E+002
281.0000,3.0891E+002
282.0000,2.7966E+002
283.0000,2.8074E+002
284.0000,3.1604E+002
285.0000,3.2090E+002
286.0000,2.9801E+002
287.0000,2.9352E+002
288.0000,3.1290E+002
289.0000,3.1200E+002
290.0000,3.3473E+002
291.0000,3.1364E+002
292.0000,3.0677E+002
293.0000,3.2549E+002
294.0000,3.1257E+002
295.0000,2.9747E+002
296.0000,3.1441E+002
297.0000,3.2797E+002
298.0000,3.0719E+002
299.0000,3.0625E+002
300.0000,3.0386E+002
301.0000,2.9263E+002
302.0000,3.0260E+002
303.0000,2.9377E+002
304.0000,2.8590E+002
305.0000,3.0414E+002
306.0000,2.9003E+002
307.0000,2.8394E+002
308.0000,3.1024E+002
309.0000,3.0496E+002
310.0000,2.8212E+002
311.0000,2.8537E+002
312.0000,2.8982E+002
313.0000,3.0323E+002
314.0000,3.2295E+002
315.0000,2.7776E+002
316.0000,3.0385E+002
317.0000,3.0204E+002
318.0000,3.1395E+002
319.0000,3.2210E+002
320.0000,3.3009E+002
321.0000,2.9363E+002
322.0000,2.7601E+002
323.0000,2.9700E+002
324.0000,2.7735E+002
325.0000,2.6296E+002
326.0000,2.8500E+002
327.0000,2.9614E+002
328.0000,2.9123E+002
329.0000,2.8341E+002
330.0000,3.0835E+002
331.0000,3.1228E+002
332.0000,3.0609E+002
333.0000,3.0489E+002
334.0000,3.1172E+002
335.0000,3.2198E+002
