"",45.900
0.0000,0.0000E+000
1.0000,2.5818E+001
2.0000,2.1598E+001
3.0000,1.6074E+001
4.0000,1.8978E+001
5.0000,1.3380E+001
6.0000,2.3949E+001
7.0000,8.4187E+000
8.0000,-1.5255E+001
9.0000,-6.9259E+000
10.0000,-6.1674E+000
11.0000,-8.1948E+000
12.0000,-1.1179E+001
13.0000,-7.2370E+000
14.0000,-1.1596E+001
15.0000,-5.6487E+000
16.0000,3.9994E-001
17.0000,-3.3167E+000
18.0000,-1.2518E+001
19.0000,-4.3419E+001
20.0000,-2.6246E+001
21.0000,-2.3149E+001
22.0000,-3.0137E+001
23.0000,-2.2685E+001
24.0000,6.4155E+000
25.0000,1.7176E+001
26.0000,-9.8182E+000
27.0000,2.0371E+001
28.0000,2.9184E+001
29.0000,1.1566E+001
30.0000,1.6700E+001
31.0000,1.3266E+000
32.0000,-3.7098E+000
33.0000,2.6018E+001
34.0000,-5.4576E+000
35.0000,-2.4645E+001
36.0000,-4.5667E+000
37.0000,-2.7089E+000
38.0000,6.2914E+000
39.0000,1.0687E+001
40.0000,4.2896E+000
41.0000,-2.8469E+000
42.0000,-1.4200E+000
43.0000,2.4623E+001
44.0000,1.0987E+001
45.0000,5.8598E+000
46.0000,2.5091E+001
47.0000,2.4209E+001
48.0000,1.1551E+001
49.0000,1.1739E+001
50.0000,3.8865E+000
51.0000,-1.1361E+001
52.0000,-2.6219E+001
53.0000,-1.5402E+001
54.0000,-1.9426E+001
55.0000,-1.4444E+001
56.0000,-9.4613E+000
57.0000,-2.2849E+000
58.0000,-4.6811E+000
59.0000,3.2900E+000
60.0000,-1.8130E+000
61.0000,2.5504E-001
62.0000,2.5914E+000
63.0000,6.5022E+000
64.0000,2.3843E+001
65.0000,2.7160E+001
66.0000,3.1418E+001
67.0000,3.0852E+001
68.0000,-7.5574E+000
69.0000,-4.3187E+001
70.0000,-2.0905E+001
71.0000,-5.8353E+000
72.0000,-1.2868E+000
73.0000,-2.7385E-001
74.0000,-8.1307E+000
75.0000,-6.0040E+000
76.0000,-2.9094E+000
77.0000,-1.0822E+001
78.0000,-6.6686E+000
79.0000,-5.5148E+000
80.0000,3.6915E+001
81.0000,1.0877E+001
82.0000,-1.5506E+001
83.0000,-1.9742E+001
84.0000,-2.1822E+001
85.0000,-2.1656E+001
86.0000,-2.6485E+001
87.0000,-1.8833E+001
88.0000,-1.3320E+001
89.0000,-1.0331E+001
90.0000,1.4716E+001
91.0000,1.2434E+001
92.0000,8.9739E+000
93.0000,8.7160E+000
94.0000,8.3644E+000
95.0000,6.1835E+000
96.0000,1.4950E+001
97.0000,2.8279E+001
98.0000,1.9867E+001
99.0000,1.5988E+001
100.0000,1.8031E+001
101.0000,1.3972E+001
102.0000,2.6445E+001
103.0000,8.2297E+001
104.0000,5.1464E+001
105.0000,4.9088E+001
106.0000,5.7842E+001
107.0000,2.6344E+001
108.0000,1.2638E+001
109.0000,2.0451E+001
110.0000,1.9517E+001
111.0000,2.8646E+001
112.0000,2.8564E+001
113.0000,1.5924E+001
114.0000,3.9348E+000
115.0000,-7.8862E+000
116.0000,-8.0536E-001
117.0000,7.0443E+000
118.0000,7.5219E+000
119.0000,1.3946E+000
120.0000,-1.1888E+001
121.0000,-1.1796E+001
122.0000,-1.3324E+001
123.0000,-1.2121E+001
124.0000,-6.6212E-001
125.0000,3.3668E+000
126.0000,7.6074E+000
127.0000,-1.3117E+001
128.0000,-2.0718E+001
129.0000,-1.6515E+001
130.0000,-2.9673E+001
131.0000,-1.6479E+001
132.0000,-4.0680E+001
133.0000,-2.8907E+001
134.0000,-3.0393E+001
135.0000,-1.3619E+001
136.0000,-1.0740E+001
137.0000,-2.0610E+001
138.0000,9.6837E-002
139.0000,-4.8439E+000
140.0000,-6.4169E+000
141.0000,-1.5523E+001
142.0000,-2.7820E+001
143.0000,-1.5301E+001
144.0000,-9.7267E+000
145.0000,-7.3879E+000
146.0000,-2.4603E+001
147.0000,-1.8116E+001
148.0000,1.0836E+000
149.0000,-3.8388E+000
150.0000,-1.2185E+001
151.0000,-1.6411E+001
152.0000,-7.9426E+000
153.0000,6.8384E-001
154.0000,2.1753E+000
155.0000,-2.5958E+000
156.0000,-3.3553E+000
157.0000,-1.2834E+000
158.0000,-4.7304E+000
159.0000,-1.1378E+001
160.0000,-4.9185E+001
161.0000,-2.3170E+001
162.0000,-1.8710E+001
163.0000,-3.5331E+001
164.0000,-4.7469E+001
165.0000,-3.6945E+001
166.0000,-1.6200E+001
167.0000,-5.8949E+000
168.0000,-1.0332E+001
169.0000,-1.8497E+001
170.0000,-1.7543E+001
