"",45.900
0.0000,0.0000E+000
1.0000,2.2244E+001
2.0000,2.0206E+001
3.0000,7.0750E+000
4.0000,8.6240E+000
5.0000,7.9699E+000
6.0000,2.2421E+001
7.0000,-2.5198E+000
8.0000,-2.5864E+001
9.0000,-2.1726E+001
10.0000,-1.7431E+001
11.0000,-1.8465E+001
12.0000,-1.8087E+001
13.0000,-2.2801E+001
14.0000,-2.3418E+001
15.0000,-9.6915E+000
16.0000,-5.0327E+000
17.0000,-8.6933E+000
18.0000,-1.8853E+001
19.0000,-5.0822E+001
20.0000,-3.0287E+001
21.0000,-2.5762E+001
22.0000,-3.4425E+001
23.0000,-2.9984E+001
24.0000,-3.2219E+000
25.0000,-3.5669E+000
26.0000,-4.8985E+001
27.0000,-3.1650E+001
28.0000,4.1277E+000
29.0000,-3.1087E+001
30.0000,-3.4427E+001
31.0000,-2.6356E+001
32.0000,-1.6541E+001
33.0000,2.1933E+001
34.0000,-4.2905E+001
35.0000,-5.0862E+001
36.0000,-3.4584E+001
37.0000,-1.8331E+001
38.0000,-1.3031E+001
39.0000,2.9407E+000
40.0000,-1.0157E+001
41.0000,-1.1341E+001
42.0000,-6.3061E+000
43.0000,1.9814E+001
44.0000,-7.1643E+000
45.0000,-5.0803E+000
46.0000,1.2599E+001
47.0000,-1.5648E+001
48.0000,-2.3770E+001
49.0000,-8.2184E+000
50.0000,-2.3100E+001
51.0000,-5.0661E+001
52.0000,-4.8968E+001
53.0000,-2.5289E+001
54.0000,-2.8038E+001
55.0000,-2.5905E+001
56.0000,-1.8752E+001
57.0000,-1.0173E+001
58.0000,-1.2512E+001
59.0000,-7.9206E+000
60.0000,-1.0657E+001
61.0000,-1.4678E+001
62.0000,-1.1660E+001
63.0000,-1.1139E+001
64.0000,8.4704E+000
65.0000,1.7730E+001
66.0000,2.6481E+001
67.0000,1.6756E+001
68.0000,-3.2639E+001
69.0000,-8.3463E+001
70.0000,-4.3135E+001
71.0000,-1.7356E+001
72.0000,-1.5880E+001
73.0000,-1.6556E+001
74.0000,-2.2014E+001
75.0000,-1.9992E+001
76.0000,-1.3149E+001
77.0000,-2.3375E+001
78.0000,-1.5769E+001
79.0000,-3.0390E+001
80.0000,2.7657E+001
81.0000,-1.0654E+001
82.0000,-5.0195E+001
83.0000,-6.0425E+001
84.0000,-5.3679E+001
85.0000,-4.6382E+001
86.0000,-5.5323E+001
87.0000,-6.1590E+001
88.0000,-4.5918E+001
89.0000,-4.8097E+001
90.0000,-4.4326E+001
91.0000,-3.5467E+001
92.0000,-2.9383E+001
93.0000,-2.8929E+001
94.0000,-2.1139E+001
95.0000,-1.7679E+001
96.0000,-2.6472E+001
97.0000,-3.0902E+001
98.0000,-2.0850E+001
99.0000,4.5033E+000
100.0000,1.0192E+001
101.0000,-3.6497E+000
102.0000,1.3689E+001
103.0000,6.3025E+001
104.0000,3.8350E+001
105.0000,-1.0537E+001
106.0000,5.8348E+001
107.0000,-1.0038E+000
108.0000,-1.2043E+001
109.0000,-1.2015E+001
110.0000,-5.8411E+000
111.0000,9.4119E+000
112.0000,7.9358E+000
113.0000,9.3892E+000
114.0000,-1.8334E+001
115.0000,-5.1741E+001
116.0000,-5.2871E+001
117.0000,-2.1957E+001
118.0000,-5.1933E+001
119.0000,-2.2523E+001
120.0000,-4.2520E+001
121.0000,-4.6336E+001
122.0000,-3.5275E+001
123.0000,-4.8271E+001
124.0000,-2.6885E+001
125.0000,-1.9344E+001
126.0000,-2.3992E+001
127.0000,-2.9818E+001
128.0000,-5.4128E+001
129.0000,-5.6825E+001
130.0000,-7.0392E+001
131.0000,-4.6687E+001
132.0000,-9.6664E+001
133.0000,-6.4618E+001
134.0000,-7.4900E+001
135.0000,-2.4476E+001
136.0000,-4.0357E+001
137.0000,-4.7524E+001
138.0000,-1.1479E+001
139.0000,-3.2155E+001
140.0000,-3.9616E+001
141.0000,-6.1210E+001
142.0000,-9.5252E+001
143.0000,-7.4142E+001
144.0000,-3.2021E+001
145.0000,-2.9599E+001
146.0000,-5.7889E+001
147.0000,-4.1371E+001
148.0000,-4.0014E+001
149.0000,-4.1553E+001
150.0000,-3.8662E+001
151.0000,-5.4574E+001
152.0000,-3.0069E+001
153.0000,-1.0690E+001
154.0000,-2.9607E+001
155.0000,-4.0146E+001
156.0000,-4.1649E+001
157.0000,-4.6930E+001
158.0000,-4.9703E+001
159.0000,-6.4997E+001
160.0000,-1.2796E+002
161.0000,-5.8133E+001
162.0000,-5.1230E+001
163.0000,-8.5450E+001
164.0000,-9.6540E+001
165.0000,-9.5092E+001
166.0000,-4.3194E+001
167.0000,-3.4474E+001
168.0000,-4.0730E+001
169.0000,-6.3488E+001
170.0000,-4.6347E+001
171.0000,-6.8674E+001
172.0000,-9.2610E+001
173.0000,-1.0094E+002
174.0000,-4.6931E+001
175.0000,-3.4610E+001
176.0000,-4.7949E+001
177.0000,-5.0011E+001
178.0000,-4.4671E+001
179.0000,-4.1859E+001
180.0000,-6.8684E+001
181.0000,-7.6139E+001
182.0000,-4.8911E+001
183.0000,-4.3868E+001
184.0000,-6.5095E+001
185.0000,-4.9524E+001
186.0000,-3.4510E+001
187.0000,-3.2907E+000
188.0000,-7.8664E+000
189.0000,-1.2752E+001
190.0000,-3.0564E+001
191.0000,-3.0928E+001
192.0000,-5.2595E+001
193.0000,-7.2885E+001
194.0000,-8.3245E+001
195.0000,-9.7285E+001
196.0000,-8.4542E+001
197.0000,-6.4404E+001
198.0000,-3.9351E+001
199.0000,-6.5331E+001
200.0000,-8.2160E+001
201.0000,-8.9370E+001
202.0000,-7.1478E+001
203.0000,-8.9766E+001
204.0000,-9.3593E+001
205.0000,-5.2965E+001
206.0000,-6.3374E+001
207.0000,-6.1452E+001
208.0000,-5.9565E+001
209.0000,-8.8131E+001
210.0000,-8.8900E+001
211.0000,-5.4959E+001
212.0000,-2.5072E+001
213.0000,-7.7572E+001
214.0000,-6.5883E+001
215.0000,-4.3157E+001
216.0000,-7.7696E+001
217.0000,-5.4900E+001
218.0000,-3.1701E+001
219.0000,-6.2029E+001
220.0000,-7.9005E+001
221.0000,-6.7854E+001
222.0000,-8.8366E+001
223.0000,-8.9193E+001
224.0000,-5.5023E+001
225.0000,-3.0421E+001
226.0000,-3.2003E+001
227.0000,-6.3958E+001
228.0000,-6.2341E+001
229.0000,-9.0384E+001
230.0000,-7.6323E+001
231.0000,-6.2805E+001
232.0000,-4.5223E+001
233.0000,-3.2559E+001
234.0000,-5.0604E+001
235.0000,-4.9972E+001
236.0000,-5.0907E+001
237.0000,-3.2301E+001
238.0000,-4.0068E+001
239.0000,-5.6696E+001
240.0000,-4.9827E+001
241.0000,-6.8083E+001
242.0000,-9.7141E+001
243.0000,-9.6342E+001
244.0000,-4.9021E+001
245.0000,-5.9639E+001
246.0000,-5.9823E+001
247.0000,-7.4404E+001
248.0000,-8.9746E+001
