"",45.900
0.0000,0.0000E+000
1.0000,-3.3628E+002
2.0000,-3.3671E+002
3.0000,-3.3685E+002
4.0000,-3.3689E+002
5.0000,-3.3695E+002
6.0000,-3.3722E+002
7.0000,-3.3728E+002
8.0000,-3.3679E+002
9.0000,-3.3643E+002
10.0000,-3.3610E+002
11.0000,-3.3578E+002
12.0000,-3.3542E+002
13.0000,-3.3507E+002
14.0000,-3.3464E+002
15.0000,-3.3439E+002
16.0000,-3.3432E+002
17.0000,-3.3418E+002
18.0000,-3.3380E+002
19.0000,-3.3307E+002
20.0000,-3.3239E+002
21.0000,-3.3182E+002
22.0000,-3.3122E+002
23.0000,-3.3073E+002
24.0000,-3.3056E+002
25.0000,-3.3054E+002
26.0000,-3.3022E+002
27.0000,-3.2990E+002
28.0000,-3.2995E+002
29.0000,-3.2987E+002
30.0000,-3.2969E+002
31.0000,-3.2945E+002
32.0000,-3.2921E+002
33.0000,-3.2939E+002
34.0000,-3.2926E+002
35.0000,-3.2872E+002
36.0000,-3.2826E+002
37.0000,-3.2797E+002
38.0000,-3.2784E+002
39.0000,-3.2795E+002
40.0000,-3.2791E+002
41.0000,-3.2774E+002
42.0000,-3.2763E+002
43.0000,-3.2785E+002
44.0000,-3.2800E+002
45.0000,-3.2803E+002
46.0000,-3.2821E+002
47.0000,-3.2835E+002
48.0000,-3.2831E+002
49.0000,-3.2835E+002
50.0000,-3.2829E+002
51.0000,-3.2802E+002
52.0000,-3.2757E+002
53.0000,-3.2719E+002
54.0000,-3.2684E+002
55.0000,-3.2652E+002
56.0000,-3.2635E+002
57.0000,-3.2634E+002
58.0000,-3.2633E+002
59.0000,-3.2640E+002
60.0000,-3.2657E+002
61.0000,-3.2670E+002
62.0000,-3.2670E+002
63.0000,-3.2689E+002
64.0000,-3.2715E+002
65.0000,-3.2751E+002
66.0000,-3.2803E+002
67.0000,-3.2859E+002
68.0000,-3.2861E+002
69.0000,-3.2807E+002
70.0000,-3.2778E+002
71.0000,-3.2781E+002
72.0000,-3.2789E+002
73.0000,-3.2804E+002
74.0000,-3.2813E+002
75.0000,-3.2814E+002
76.0000,-3.2837E+002
77.0000,-3.2855E+002
78.0000,-3.2875E+002
79.0000,-3.2853E+002
80.0000,-3.2877E+002
81.0000,-3.2911E+002
82.0000,-3.2911E+002
83.0000,-3.2900E+002
84.0000,-3.2892E+002
85.0000,-3.2887E+002
86.0000,-3.2878E+002
87.0000,-3.2874E+002
88.0000,-3.2887E+002
89.0000,-3.2887E+002
90.0000,-3.2912E+002
91.0000,-3.2971E+002
92.0000,-3.3049E+002
93.0000,-3.3132E+002
94.0000,-3.3218E+002
95.0000,-3.3309E+002
96.0000,-3.3316E+002
97.0000,-3.3324E+002
98.0000,-3.3395E+002
99.0000,-3.3494E+002
100.0000,-3.3621E+002
101.0000,-3.3752E+002
102.0000,-3.3788E+002
103.0000,-3.3821E+002
104.0000,-3.3928E+002
105.0000,-3.4046E+002
106.0000,-3.4158E+002
107.0000,-3.4248E+002
108.0000,-3.4361E+002
109.0000,-3.4456E+002
110.0000,-3.4547E+002
111.0000,-3.4653E+002
112.0000,-3.4801E+002
113.0000,-3.4957E+002
114.0000,-3.5109E+002
115.0000,-3.5158E+002
116.0000,-3.5171E+002
117.0000,-3.5218E+002
118.0000,-3.5241E+002
119.0000,-3.5372E+002
120.0000,-3.5525E+002
121.0000,-3.5533E+002
122.0000,-3.5421E+002
123.0000,-3.5361E+002
124.0000,-3.5385E+002
125.0000,-3.5425E+002
126.0000,-3.5497E+002
127.0000,-3.5499E+002
128.0000,-3.5451E+002
129.0000,-3.5455E+002
130.0000,-3.5458E+002
131.0000,-3.5439E+002
132.0000,-3.5422E+002
133.0000,-3.5419E+002
134.0000,-3.5424E+002
135.0000,-3.5459E+002
136.0000,-3.5555E+002
137.0000,-3.5536E+002
138.0000,-3.5677E+002
139.0000,-3.5841E+002
140.0000,-3.5877E+002
141.0000,-3.5935E+002
142.0000,-3.5897E+002
143.0000,-3.5903E+002
144.0000,-3.5927E+002
145.0000,-3.5967E+002
146.0000,-3.5994E+002
147.0000,-3.6004E+002
148.0000,-3.6121E+002
149.0000,-3.6326E+002
150.0000,-3.6460E+002
151.0000,-3.6503E+002
152.0000,-3.6582E+002
153.0000,-3.6837E+002
154.0000,-3.7393E+002
155.0000,-3.7907E+002
156.0000,-3.8271E+002
157.0000,-3.8758E+002
158.0000,-3.9383E+002
159.0000,-3.9823E+002
160.0000,-3.9252E+002
161.0000,-3.8583E+002
162.0000,-3.8588E+002
163.0000,-3.8542E+002
164.0000,-3.8079E+002
165.0000,-3.7655E+002
166.0000,-3.7577E+002
167.0000,-3.7715E+002
168.0000,-3.8002E+002
169.0000,-3.8316E+002
170.0000,-3.8314E+002
171.0000,-3.8131E+002
172.0000,-3.7790E+002
173.0000,-3.7374E+002
174.0000,-3.7360E+002
175.0000,-3.7505E+002
176.0000,-3.7788E+002
177.0000,-3.7910E+002
178.0000,-3.7762E+002
179.0000,-3.7755E+002
180.0000,-3.7759E+002
181.0000,-3.7697E+002
182.0000,-3.7596E+002
183.0000,-3.7534E+002
184.0000,-3.7541E+002
185.0000,-3.7601E+002
186.0000,-3.7752E+002
187.0000,-3.8189E+002
188.0000,-3.9055E+002
189.0000,-3.9917E+002
190.0000,-4.0625E+002
191.0000,-4.1244E+002
192.0000,-4.1626E+002
193.0000,-4.1591E+002
194.0000,-4.1485E+002
195.0000,-4.1164E+002
196.0000,-4.0909E+002
197.0000,-4.0890E+002
198.0000,-4.1135E+002
199.0000,-4.1443E+002
200.0000,-4.1593E+002
201.0000,-4.1598E+002
202.0000,-4.1452E+002
203.0000,-4.1144E+002
204.0000,-4.0549E+002
205.0000,-4.0189E+002
206.0000,-4.0146E+002
207.0000,-4.0080E+002
208.0000,-4.0012E+002
209.0000,-3.9867E+002
210.0000,-3.9623E+002
211.0000,-3.9380E+002
212.0000,-3.9133E+002
213.0000,-3.8937E+002
214.0000,-3.8799E+002
215.0000,-3.8852E+002
216.0000,-3.8974E+002
217.0000,-3.8988E+002
218.0000,-3.9063E+002
219.0000,-3.9125E+002
220.0000,-3.9045E+002
221.0000,-3.9032E+002
222.0000,-3.8992E+002
223.0000,-3.8924E+002
224.0000,-3.8914E+002
225.0000,-3.8970E+002
226.0000,-3.8952E+002
227.0000,-3.8911E+002
228.0000,-3.8869E+002
229.0000,-3.8751E+002
230.0000,-3.8687E+002
231.0000,-3.8646E+002
232.0000,-3.8641E+002
233.0000,-3.8762E+002
234.0000,-3.8806E+002
235.0000,-3.8727E+002
236.0000,-3.8723E+002
237.0000,-3.8828E+002
238.0000,-3.8930E+002
239.0000,-3.8956E+002
240.0000,-3.8958E+002
241.0000,-3.8878E+002
242.0000,-3.8751E+002
243.0000,-3.8659E+002
244.0000,-3.8617E+002
245.0000,-3.8617E+002
246.0000,-3.8615E+002
247.0000,-3.8548E+002
248.0000,-3.8444E+002
249.0000,-3.8183E+002
250.0000,-3.8145E+002
251.0000,-3.8138E+002
252.0000,-3.8103E+002
253.0000,-3.8065E+002
254.0000,-3.8040E+002
255.0000,-3.8000E+002
256.0000,-3.7966E+002
257.0000,-3.7858E+002
258.0000,-3.7655E+002
259.0000,-3.7483E+002
260.0000,-3.7405E+002
261.0000,-3.7368E+002
262.0000,-3.7366E+002
