"",45.900
0.0000,0.0000E+000
1.0000,5.8738E+000
2.0000,6.5687E+000
3.0000,9.8140E+000
4.0000,4.7599E+000
5.0000,3.5113E+000
6.0000,3.0212E+000
7.0000,1.4985E+001
8.0000,1.7070E+001
9.0000,1.1419E+001
10.0000,1.1057E+001
11.0000,1.1498E+001
12.0000,1.0140E+001
13.0000,9.1132E+000
14.0000,9.1213E+000
15.0000,5.8433E+000
16.0000,9.6829E+000
17.0000,1.1094E+001
18.0000,1.3043E+001
19.0000,1.6971E+001
20.0000,2.4179E+001
21.0000,2.5154E+001
22.0000,1.2276E+001
23.0000,1.8227E+001
24.0000,5.4876E+000
25.0000,1.1716E+001
26.0000,2.3257E+001
27.0000,1.3548E+001
28.0000,6.1825E+000
29.0000,3.0682E+001
30.0000,2.9986E+001
31.0000,2.0491E+001
32.0000,2.3567E+001
33.0000,8.2027E+000
34.0000,2.0750E+001
35.0000,1.9867E+001
36.0000,2.9160E+001
37.0000,1.3152E+001
38.0000,2.1606E+001
39.0000,1.7264E+001
40.0000,2.1624E+001
41.0000,1.8188E+001
42.0000,1.1797E+001
43.0000,9.7777E+000
44.0000,2.8914E+001
45.0000,1.9676E+001
46.0000,1.7345E+001
47.0000,3.2097E+001
48.0000,3.6839E+001
49.0000,4.1982E+001
50.0000,3.9316E+001
51.0000,4.4224E+001
52.0000,4.0079E+001
53.0000,3.6055E+001
54.0000,4.2718E+001
55.0000,5.0499E+001
56.0000,3.7920E+001
57.0000,3.3190E+001
58.0000,3.7833E+001
59.0000,4.0809E+001
60.0000,6.4716E+001
61.0000,4.4971E+001
62.0000,2.5594E+001
63.0000,6.1519E+001
64.0000,2.2420E+001
65.0000,2.2984E+001
66.0000,2.3189E+001
67.0000,4.5101E+001
68.0000,4.1481E+001
69.0000,7.3567E+001
70.0000,7.7091E+001
71.0000,6.0329E+001
72.0000,4.8591E+001
73.0000,6.4501E+001
74.0000,7.3129E+001
75.0000,5.1502E+001
76.0000,6.4235E+001
77.0000,7.2137E+001
78.0000,8.3215E+001
79.0000,2.0299E+001
80.0000,1.9298E+001
81.0000,4.8864E+001
82.0000,6.9279E+001
83.0000,8.9626E+001
84.0000,8.7623E+001
85.0000,9.6585E+001
86.0000,9.6781E+001
87.0000,1.0722E+002
88.0000,1.1500E+002
89.0000,6.5859E+001
90.0000,1.0286E+002
91.0000,1.3282E+002
92.0000,1.4908E+002
93.0000,1.4143E+002
94.0000,1.2403E+002
95.0000,1.0793E+002
96.0000,6.9629E+001
97.0000,1.0553E+002
98.0000,1.1462E+002
99.0000,8.0925E+001
100.0000,8.9110E+001
101.0000,1.0089E+002
102.0000,4.0837E+001
103.0000,1.0317E+002
104.0000,7.2113E+001
105.0000,1.5246E+002
106.0000,3.7108E+001
107.0000,1.0562E+002
108.0000,1.2682E+002
109.0000,1.0911E+002
110.0000,1.2102E+002
111.0000,8.2002E+001
112.0000,1.0549E+002
113.0000,4.9489E+001
114.0000,1.3334E+002
115.0000,1.4395E+002
116.0000,1.5241E+002
117.0000,8.1786E+001
118.0000,1.4819E+002
119.0000,1.4656E+002
120.0000,1.2774E+002
121.0000,1.0041E+002
122.0000,4.2298E+001
123.0000,1.2664E+002
124.0000,7.5454E+001
125.0000,7.8205E+001
126.0000,9.4728E+001
127.0000,5.9327E+001
128.0000,7.9096E+001
129.0000,1.3166E+002
130.0000,9.7506E+001
131.0000,4.2054E+001
132.0000,1.2263E+002
133.0000,1.2497E+002
134.0000,1.1914E+002
135.0000,9.1973E+001
136.0000,1.4972E+002
137.0000,5.3047E+001
138.0000,1.4331E+002
139.0000,8.9097E+001
140.0000,1.3312E+002
141.0000,1.3845E+002
142.0000,1.4819E+002
143.0000,1.7246E+002
144.0000,4.6913E+001
145.0000,1.0667E+002
146.0000,1.2991E+002
147.0000,1.1441E+002
148.0000,1.7996E+002
149.0000,1.9186E+002
150.0000,9.4884E+001
151.0000,1.1857E+002
152.0000,9.7813E+001
153.0000,1.0216E+002
154.0000,1.8906E+002
155.0000,1.6580E+002
156.0000,1.4955E+002
157.0000,2.0107E+002
158.0000,2.0526E+002
159.0000,1.7230E+002
160.0000,7.7254E+001
161.0000,9.6750E+001
162.0000,1.2420E+002
163.0000,1.2309E+002
164.0000,4.3602E+001
165.0000,1.3698E+002
166.0000,9.4994E+001
167.0000,1.2185E+002
168.0000,1.4834E+002
169.0000,1.8310E+002
170.0000,3.3691E+001
171.0000,1.0076E+002
172.0000,1.1129E+002
173.0000,1.3176E+002
174.0000,1.3285E+002
175.0000,9.6535E+001
176.0000,1.8641E+002
177.0000,7.5758E+001
178.0000,5.9424E+001
179.0000,1.1403E+002
180.0000,1.0070E+002
181.0000,1.1414E+002
182.0000,2.0024E+001
183.0000,8.8451E+001
184.0000,9.1075E+001
185.0000,1.3805E+002
186.0000,1.1183E+002
187.0000,1.2234E+002
188.0000,1.6011E+002
189.0000,1.5033E+002
190.0000,1.6511E+002
191.0000,1.6434E+002
192.0000,1.3930E+002
193.0000,1.3895E+002
194.0000,1.4690E+002
195.0000,1.1969E+002
196.0000,1.3604E+002
197.0000,1.4180E+002
198.0000,1.4492E+002
199.0000,1.5354E+002
200.0000,1.3947E+002
201.0000,1.3583E+002
202.0000,8.7612E+001
203.0000,8.8595E+001
204.0000,5.1479E+001
205.0000,1.1123E+002
206.0000,1.1291E+002
207.0000,1.0914E+002
208.0000,1.0759E+002
209.0000,9.5501E+001
210.0000,1.0775E+002
211.0000,2.4156E+001
212.0000,2.1221E+001
213.0000,1.2434E+002
214.0000,1.2214E+002
215.0000,1.0869E+002
216.0000,1.6506E+002
217.0000,7.9814E+001
218.0000,1.2031E+002
219.0000,8.2781E+001
220.0000,1.1613E+002
221.0000,1.0999E+002
222.0000,1.1386E+002
223.0000,1.1875E+002
224.0000,8.9924E+001
225.0000,7.9106E+001
226.0000,3.2273E+001
227.0000,1.1396E+002
228.0000,7.2533E+001
229.0000,9.9377E+001
230.0000,9.8636E+001
231.0000,6.9600E+001
232.0000,8.9546E+001
233.0000,1.2470E+002
234.0000,5.0471E+001
235.0000,6.0238E+001
236.0000,9.2195E+001
237.0000,1.0760E+002
238.0000,7.8583E+001
239.0000,1.0610E+002
240.0000,7.3481E+001
241.0000,6.6470E+001
242.0000,1.0479E+002
243.0000,1.1178E+002
244.0000,6.6652E+001
245.0000,1.1023E+002
246.0000,8.9442E+001
247.0000,8.9138E+001
248.0000,1.0356E+002
249.0000,6.1139E+001
250.0000,7.6519E+001
251.0000,6.8059E+001
252.0000,7.6056E+001
253.0000,3.8889E+001
254.0000,2.4430E+001
255.0000,6.5263E+001
256.0000,8.7162E+001
257.0000,5.6990E+001
258.0000,6.8221E+001
259.0000,2.6576E+001
260.0000,6.6095E+001
261.0000,7.1807E+001
262.0000,6.7808E+001
263.0000,6.9588E+001
264.0000,6.4907E+001
265.0000,9.6810E+001
266.0000,6.0878E+001
267.0000,5.5890E+001
268.0000,4.1050E+001
269.0000,6.3321E+001
270.0000,6.3255E+001
271.0000,5.8699E+001
272.0000,3.2978E+001
273.0000,2.8960E+001
274.0000,4.1022E+001
275.0000,2.9860E+001
276.0000,4.3779E+001
277.0000,5.8191E+001
278.0000,2.7454E+001
279.0000,2.9838E+001
280.0000,3.3102E+001
281.0000,4.2041E+001
282.0000,6.5001E+001
283.0000,6.4282E+001
284.0000,3.7703E+001
285.0000,3.9255E+001
286.0000,5.3430E+001
287.0000,4.8268E+001
288.0000,3.6495E+001
289.0000,3.7134E+001
290.0000,8.6847E+000
291.0000,3.5230E+001
292.0000,3.3163E+001
293.0000,1.0237E+001
294.0000,3.6701E+001
295.0000,4.1687E+001
296.0000,3.0200E+001
297.0000,3.1285E+001
298.0000,2.1393E+001
299.0000,2.6935E+001
300.0000,2.6760E+001
301.0000,3.3183E+001
302.0000,1.5329E+001
303.0000,2.8841E+001
304.0000,3.6853E+001
305.0000,1.4481E+001
306.0000,2.0118E+001
307.0000,3.0780E+001
308.0000,1.9812E+001
309.0000,6.3811E+000
310.0000,2.6207E+001
311.0000,2.1123E+001
312.0000,1.7009E+001
313.0000,1.2577E+001
314.0000,1.4446E+001
315.0000,2.8020E+001
316.0000,1.3275E+001
317.0000,2.0397E+001
318.0000,1.6690E+001
319.0000,1.4258E+001
320.0000,5.5287E+000
321.0000,1.6764E+001
322.0000,2.3917E+001
323.0000,1.8247E+001
324.0000,2.1062E+001
325.0000,2.3063E+001
326.0000,1.6536E+001
327.0000,1.4360E+001
328.0000,1.3704E+001
329.0000,1.7755E+001
330.0000,1.1974E+001
331.0000,1.1805E+001
332.0000,9.2830E+000
333.0000,1.5896E+001
334.0000,1.3781E+001
335.0000,9.7526E+000
336.0000,9.6451E+000
337.0000,1.9434E+001
338.0000,9.9195E+000
339.0000,1.2011E+001
340.0000,1.1735E+001
341.0000,6.1735E+000
342.0000,1.1346E+001
343.0000,6.4543E+000
344.0000,1.0291E+001
345.0000,4.5837E+000
346.0000,1.4426E+001
347.0000,2.3608E+000
348.0000,4.1086E+000
349.0000,1.3122E+001
350.0000,8.8192E+000
351.0000,6.9857E+000
352.0000,1.2559E+001
353.0000,2.3458E+000
354.0000,1.0137E+001
355.0000,1.2363E+001
356.0000,1.1550E+001
357.0000,7.5834E+000
358.0000,1.4953E+001
359.0000,1.2153E+001
360.0000,8.6225E+000
361.0000,1.3710E+001
362.0000,8.3729E+000
363.0000,1.5995E+001
364.0000,1.1950E+001
365.0000,3.9360E+000
