wind_speed,swr,a_seiche,par_id
1.0185,0.54121,0.0012016,p0001
1.1139,1.2727,0.00097192,p0002
1.2021,0.93985,0.0022087,p0003
0.87968,1.1942,0.0023535,p0004
1.4303,0.52417,0.001417,p0005
1.2279,1.4523,0.0016688,p0006
0.80797,0.80052,0.0021956,p0007
0.71201,1.2387,0.0010313,p0008
0.76817,0.50552,0.0027283,p0009
0.83366,0.57943,0.0025122,p0010
0.62807,0.65934,0.0015825,p0011
0.85592,0.81564,0.0019866,p0012
0.57928,1.2918,0.0023385,p0013
1.1174,1.3256,0.00085518,p0014
1.3033,1.3574,0.002039,p0015
0.68337,1.4532,0.0020214,p0016
0.69553,0.86728,0.0009214,p0017
1.4321,0.7974,0.0020753,p0018
1.1025,0.98795,0.0018274,p0019
1.4826,0.96533,0.0016943,p0020
1.2953,0.79537,0.00091659,p0021
0.57371,0.77722,0.0021597,p0022
0.75832,0.86226,0.0014954,p0023
1.1935,1.474,0.0028257,p0024
0.88649,0.99981,0.00163,p0025
0.72491,1.4775,0.0011189,p0026
0.61332,1.0819,0.0017105,p0027
0.77334,0.54906,0.002925,p0028
1.3115,0.99055,0.0020704,p0029
0.55261,0.97752,0.0012327,p0030
1.1882,0.69537,0.0019785,p0031
0.68245,1.128,0.002373,p0032
1.0172,1.4049,0.00090847,p0033
0.71745,1.2339,0.0026382,p0034
0.98045,0.70471,0.00083018,p0035
1.0968,1.2425,0.00083409,p0036
0.83056,1.105,0.0014806,p0037
0.51755,0.56231,0.0013162,p0038
0.59489,0.98413,0.0014438,p0039
0.5727,1.0033,0.0018647,p0040
0.5082,1.1971,0.00095329,p0041
1.4795,1.2487,0.0019825,p0042
0.55562,1.3048,0.0023219,p0043
1.2352,0.51847,0.0027862,p0044
1.0406,0.68676,0.0019087,p0045
1.1298,0.98342,0.0022756,p0046
0.90426,0.75239,0.0027623,p0047
1.0759,0.79244,0.0019276,p0048
0.83645,0.99136,0.0008994,p0049
0.62539,0.86013,0.0021861,p0050
1.176,1.3305,0.0025175,p0051
0.66373,0.873,0.0010689,p0052
1.0264,0.75136,0.0011476,p0053
0.96762,0.61859,0.0013821,p0054
1.0814,0.71614,0.0021508,p0055
1.2234,0.75816,0.002057,p0056
1.4625,1.4156,0.0028533,p0057
1.2314,1.1063,0.0025801,p0058
0.61605,1.1711,0.001543,p0059
0.67839,1.1349,0.00088596,p0060
1.4477,1.3231,0.0021292,p0061
1.4146,0.66227,0.0025185,p0062
0.61524,0.94627,0.00093724,p0063
1.1805,0.93681,0.0022015,p0064
1.4366,1.3927,0.0009812,p0065
1.3263,1.0762,0.0020537,p0066
1.2126,0.87019,0.0013369,p0067
0.70615,1.2402,0.0025412,p0068
0.6461,0.6543,0.0026738,p0069
0.70088,0.50436,0.0016244,p0070
1.0864,0.94777,0.0013661,p0071
0.99889,0.7204,0.00092997,p0072
0.75564,1.3592,0.0014467,p0073
0.50087,1.4148,0.0022563,p0074
0.87196,1.4551,0.0014778,p0075
0.72914,1.0583,0.00082406,p0076
1.2603,0.72659,0.0028121,p0077
1.3299,1.2594,0.0024006,p0078
0.54827,1.4114,0.00096578,p0079
1.0895,0.72404,0.0027157,p0080
0.73047,1.1917,0.0027745,p0081
0.5396,0.85659,0.0027906,p0082
0.54332,0.74806,0.0010467,p0083
1.1334,1.2602,0.0026179,p0084
1.1728,1.1087,0.0015858,p0085
0.90527,0.59558,0.0010219,p0086
1.2077,0.60537,0.0026671,p0087
0.51351,1.1317,0.0021919,p0088
1.0625,1.1803,0.0014109,p0089
1.0784,0.95059,0.0024243,p0090
1.436,0.69635,0.001505,p0091
1.1548,0.6407,0.0025453,p0092
0.86278,1.1016,0.0016351,p0093
1.3694,1.0729,0.0027323,p0094
1.0525,0.68324,0.0028595,p0095
1.2848,0.53429,0.0027382,p0096
1.2081,0.91522,0.0028913,p0097
1.236,1.2,0.002186,p0098
0.66104,1.2576,0.00081619,p0099
1.2891,1.2537,0.0024724,p0100
0.59525,0.55135,0.0011722,p0101
0.88311,1.2524,0.0028805,p0102
0.79392,1.2216,0.0029178,p0103
0.90031,0.62786,0.0017587,p0104
1.4732,1.3029,0.0010783,p0105
0.93548,1.1288,0.0027838,p0106
1.3175,0.80866,0.001326,p0107
0.89052,0.91862,0.0020643,p0108
1.1961,1.0067,0.0011785,p0109
0.77042,1.4097,0.0011628,p0110
1.2944,0.82216,0.0012721,p0111
1.3278,0.98145,0.0018965,p0112
0.52278,1.0344,0.0012667,p0113
0.96027,0.54456,0.0021026,p0114
1.4709,1.2117,0.0011597,p0115
1.3746,0.76537,0.0012287,p0116
1.1715,1.1207,0.0025935,p0117
1.0514,0.56151,0.0027939,p0118
0.57583,0.67759,0.0017295,p0119
0.78579,0.58316,0.0012336,p0120
1.3513,1.3636,0.0012422,p0121
0.99376,1.3898,0.0014632,p0122
0.53562,0.57699,0.0010595,p0123
1.1039,1.1352,0.0018739,p0124
1.0852,1.3949,0.0010011,p0125
1.3314,0.80454,0.00094398,p0126
0.53141,0.99266,0.0015278,p0127
1.0531,1.3416,0.0024306,p0128
1.435,0.86617,0.0027883,p0129
1.1215,1.0135,0.0013723,p0130
1.2591,1.2754,0.0014745,p0131
1.2066,1.2012,0.0028438,p0132
1.3454,0.8146,0.0019663,p0133
0.53686,0.73302,0.0010718,p0134
1.2654,0.90874,0.0025893,p0135
0.76135,1.4618,0.0025066,p0136
1.4449,0.87707,0.002898,p0137
1.1746,0.55937,0.0024129,p0138
0.60119,0.95904,0.0023913,p0139
0.98392,1.1571,0.0008831,p0140
1.0124,0.8352,0.0020274,p0141
1.0484,0.61143,0.00092005,p0142
1.1237,1.1467,0.00083621,p0143
0.57643,0.82727,0.0017026,p0144
0.55062,0.57529,0.0011315,p0145
1.3194,0.87549,0.0028582,p0146
1.1862,1.4212,0.002569,p0147
0.50297,1.1055,0.00099026,p0148
1.3968,0.61034,0.0016843,p0149
0.87806,0.51381,0.00081036,p0150
0.89137,1.2951,0.0029259,p0151
1.2929,0.72309,0.0010185,p0152
0.64073,0.9624,0.0024996,p0153
0.81387,1.4174,0.0029411,p0154
0.8185,0.71911,0.0027579,p0155
0.66944,0.82552,0.0019204,p0156
0.58662,1.1547,0.0016444,p0157
1.4159,1.2926,0.0018207,p0158
1.3824,1.2541,0.0017461,p0159
0.96617,1.1027,0.0026786,p0160
1.391,1.1648,0.0022213,p0161
1.363,0.89192,0.0016508,p0162
1.1977,1.3297,0.0011001,p0163
1.4632,1.4287,0.0026814,p0164
0.73605,0.78236,0.0015968,p0165
1.1224,0.85394,0.0018937,p0166
1.0915,1.2773,0.002765,p0167
0.98938,0.52787,0.0018317,p0168
1.0411,1.4768,0.0015667,p0169
0.65419,1.4651,0.001082,p0170
1.1585,1.1382,0.0018425,p0171
1.1181,1.2002,0.0024378,p0172
1.2189,1.3138,0.0029352,p0173
1.4725,1.3781,0.0013874,p0174
1.2451,1.0112,0.0027597,p0175
1.2282,0.58542,0.0029755,p0176
0.92722,1.444,0.0011937,p0177
0.95351,1.3475,0.0016006,p0178
0.90303,0.57209,0.0011961,p0179
1.3837,1.2894,0.0023289,p0180
1.0063,1.1147,0.0015879,p0181
0.94784,1.3498,0.0021158,p0182
0.72144,0.8856,0.0010646,p0183
1.4011,0.53263,0.0027461,p0184
0.71419,1.2874,0.0025908,p0185
1.1117,1.2588,0.0020969,p0186
0.53783,0.93531,0.0014847,p0187
1.41,1.1225,0.001562,p0188
1.2805,1.4836,0.0023979,p0189
1.0357,1.064,0.0026921,p0190
0.90817,0.98686,0.0028351,p0191
1.4237,1.4702,0.0028374,p0192
0.97744,1.2189,0.0017211,p0193
1.2704,1.2155,0.0017913,p0194
0.98417,0.72836,0.0011224,p0195
1.408,1.2708,0.0025385,p0196
1.498,0.77397,0.0028845,p0197
1.0904,0.97579,0.0022793,p0198
1.2556,1.2147,0.0019957,p0199
0.93643,1.4302,0.0027263,p0200
1.0169,0.61611,0.0028756,p0201
1.4247,1.0415,0.0016582,p0202
0.51419,0.75413,0.0011809,p0203
0.69825,1.1966,0.0013229,p0204
0.99028,1.4582,0.0015287,p0205
1.4761,0.8491,0.00081945,p0206
0.5789,0.70242,0.0012999,p0207
1.048,1.1534,0.0024366,p0208
0.95282,0.57184,0.00094255,p0209
1.3406,1.2319,0.0012255,p0210
1.2154,0.62198,0.0010764,p0211
1.2507,0.55821,0.0027708,p0212
1.413,0.63946,0.0022895,p0213
1.1626,0.85975,0.0019488,p0214
0.89435,0.93159,0.0013914,p0215
1.0461,1.1373,0.0027786,p0216
0.59127,0.75729,0.0027099,p0217
0.99128,1.1653,0.0013448,p0218
1.3229,0.65883,0.0028027,p0219
1.3922,0.80368,0.0010959,p0220
1.3876,1.4546,0.0013413,p0221
1.4519,0.67253,0.0015649,p0222
1.455,0.80583,0.001045,p0223
0.75954,1.0934,0.0024481,p0224
1.2481,0.88978,0.0029784,p0225
0.94156,0.62609,0.001593,p0226
0.50406,0.82011,0.0013751,p0227
1.2561,0.83668,0.0021324,p0228
1.2032,1.4935,0.0029846,p0229
1.1521,1.079,0.0027818,p0230
0.60294,1.0077,0.0013291,p0231
1.3945,0.69381,0.0021741,p0232
1.2408,1.2368,0.0013367,p0233
0.56907,0.71193,0.0024597,p0234
0.67079,0.83976,0.002735,p0235
1.3935,1.2612,0.00096175,p0236
1.2433,1.4724,0.0017281,p0237
0.52343,1.3248,0.0013057,p0238
0.67581,1.0168,0.0029882,p0239
0.95094,0.54392,0.0011884,p0240
0.9571,0.64275,0.0017598,p0241
1.3559,0.6324,0.0020514,p0242
1.179,0.86404,0.0019651,p0243
1.2962,1.1195,0.0020249,p0244
1.4642,1.2347,0.0029711,p0245
1.0498,1.2622,0.0023884,p0246
0.51521,0.95614,0.001646,p0247
1.1911,1.4786,0.0015088,p0248
1.3202,1.0697,0.0022817,p0249
1.0882,0.96051,0.0013696,p0250
0.86658,0.64647,0.00080683,p0251
1.2248,0.54868,0.0024812,p0252
1.4802,0.73271,0.0019467,p0253
0.95804,1.1169,0.00087261,p0254
0.52888,0.96109,0.0018708,p0255
0.89954,1.1407,0.002206,p0256
1.4113,1.276,0.00099887,p0257
0.74227,0.95863,0.00095608,p0258
1.2661,1.3334,0.0025072,p0259
0.81688,1.4138,0.0014891,p0260
0.9295,1.1565,0.0021468,p0261
0.72272,1.4603,0.0023693,p0262
0.71637,0.74691,0.0017723,p0263
1.3722,1.1628,0.00097722,p0264
1.0772,0.97852,0.0023766,p0265
1.4181,1.2841,0.002157,p0266
0.68095,1.4439,0.00084358,p0267
0.69484,1.2825,0.0026021,p0268
1.4081,0.70746,0.0016526,p0269
0.58306,1.3063,0.00096289,p0270
1.1992,0.7535,0.0023035,p0271
0.83739,1.0506,0.0013805,p0272
1.0641,0.62034,0.00090547,p0273
0.86869,1.223,0.0013586,p0274
1.3168,1.3709,0.0018928,p0275
1.2512,0.97918,0.0025842,p0276
0.52005,0.97287,0.0022518,p0277
0.62212,1.1188,0.0023114,p0278
0.73979,0.60028,0.0027232,p0279
0.76286,1.1987,0.00080457,p0280
0.97239,1.1832,0.0021366,p0281
0.63304,1.366,0.0013017,p0282
1.4973,1.4856,0.0012525,p0283
1.0723,0.6796,0.00080395,p0284
1.2397,1.14,0.0026514,p0285
0.81718,1.3581,0.0020737,p0286
0.90726,0.67445,0.0015603,p0287
0.69745,0.529,0.0025882,p0288
1.0683,0.89995,0.0018168,p0289
1.2865,0.81378,0.001014,p0290
1.0115,0.65006,0.0028169,p0291
0.67465,0.56471,0.00088537,p0292
1.1778,0.73431,0.0018576,p0293
0.8953,1.1604,0.0015766,p0294
0.54982,0.79482,0.0017935,p0295
1.4412,1.4797,0.0022654,p0296
1.1569,0.90569,0.0011458,p0297
1.2332,0.53973,0.00099703,p0298
1.2447,0.76979,0.0024037,p0299
0.8876,1.001,0.0019684,p0300
0.58251,1.2457,0.0023074,p0301
1.0426,1.3328,0.0023598,p0302
1.1282,1.3508,0.0019568,p0303
1.4281,1.2025,0.0017057,p0304
1.1057,1.0055,0.0025293,p0305
0.80433,1.123,0.0015019,p0306
1.4916,0.79626,0.00084447,p0307
0.58519,0.63423,0.0023233,p0308
1.0766,1.2698,0.0020432,p0309
1.3988,0.85864,0.0020675,p0310
1.0026,1.0181,0.0027423,p0311
0.84808,0.94093,0.000986,p0312
0.87686,0.72701,0.0019155,p0313
1.0079,0.66317,0.0021819,p0314
0.60702,1.1559,0.0029389,p0315
0.66685,1.3142,0.0021281,p0316
1.0007,1.4643,0.0022253,p0317
0.7119,0.69743,0.0014261,p0318
1.4784,1.3221,0.0012586,p0319
0.82013,1.4821,0.0026754,p0320
0.65567,0.84153,0.0026427,p0321
